SiteNo,SiteName,Ownership,AssetClass,Gen,EBITDA,SourceWorkbook,SourceSheet,SourceRowNumber,ValidationStatus,IsRestoredRecord
ABE01,Allentown,Leased,Maintain,2,4223969,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,21,Valid,false
ATL01,Atlanta-Norcross,Leased,Activate,2,3061608,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,22,Valid,false
ATL02,Atlanta-Norcross,Leased,Activate,2,3061608,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,23,Valid,false
ATL03,Atlanta-Alpharetta,Leased,Hyper Growth,3,5033149.5,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,24,Valid,false
ATL04,Atlanta-Alpharetta,Owned,Hyper Growth,4,5033149.5,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,25,Valid,false
ATL05,Atlanta-Douglasville,Owned,Hyper Growth,3,2371372,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,26,Valid,false
CIN01,Cincinnati,Leased,Activate,2,1219837,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,27,Valid,false
CIN02,Cincinnati,Leased,Activate,2,1219837,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,28,Valid,false
CLT01,Charlotte-South,Leased,Activate,1,1540922.66666666,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,29,Valid,false
CLT02,Charlotte-South,Leased,Activate,2,1540922.66666666,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,30,Valid,false
CLT03,Charlotte-South,Leased,Activate,2,1540922.66666666,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,31,Valid,false
CLT04,Charlotte-North,Leased,Growth,2,962132,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,32,Valid,false
CLT05,Charlotte-North,Leased,Growth,3,962132,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,33,Valid,false
DAL01,Dallas-Downtown,Leased,Activate,1,574910.6,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,34,Valid,false
DAL02,Dallas-Downtown,Leased,Activate,1,574910.6,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,35,Valid,false
DAL03,Dallas-Downtown,Leased,Activate,1,574910.6,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,36,Valid,false
DAL04,Dallas-Downtown,Leased,Activate,1,574910.6,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,37,Valid,false
DAL05,Dallas-Downtown,Leased,Activate,1,574910.6,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,38,Valid,false
DEN02,Denver-Downtown,Leased,Maintain,2,96730,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,39,Valid,false
DEN03,Denver-Aurora,Leased,Activate,3,10705205,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,40,Valid,false
DEN05.01,Denver-Centennial,Leased,Maintain,1,974293.5,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,41,Valid,false
DEN05.02,Denver-Centennial,Leased,Maintain,1,974293.5,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site Data,42,Valid,false
