AssetId,SiteNo,SiteName,CategoryName,OverallScore,EqCriticality,EqOperatingIssues,EqRedundancy,EqServiceSupport,EqAge,SiteBusinessPriority,EqEfficiency,EqMainCost,EqLoading,ROMReplacementCost,BudgetYear,ROMCostInBudgetYear,SourceWorkbook,SourceSheet,SourceRowNumber,CalculationLayer,ValidationStatus,IsTestRecord
2,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,17,Scoring Engine -> Output- Asset Scores,Valid,false
3,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,18,Scoring Engine -> Output- Asset Scores,Valid,false
4,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,19,Scoring Engine -> Output- Asset Scores,Valid,false
5,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,20,Scoring Engine -> Output- Asset Scores,Valid,false
6,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,21,Scoring Engine -> Output- Asset Scores,Valid,false
7,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,22,Scoring Engine -> Output- Asset Scores,Valid,false
8,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,23,Scoring Engine -> Output- Asset Scores,Valid,false
9,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,24,Scoring Engine -> Output- Asset Scores,Valid,false
10,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,25,Scoring Engine -> Output- Asset Scores,Valid,false
11,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,26,Scoring Engine -> Output- Asset Scores,Valid,false
12,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,27,Scoring Engine -> Output- Asset Scores,Valid,false
13,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,28,Scoring Engine -> Output- Asset Scores,Valid,false
14,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,29,Scoring Engine -> Output- Asset Scores,Valid,false
15,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,30,Scoring Engine -> Output- Asset Scores,Valid,false
16,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,31,Scoring Engine -> Output- Asset Scores,Valid,false
17,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,32,Scoring Engine -> Output- Asset Scores,Valid,false
18,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,33,Scoring Engine -> Output- Asset Scores,Valid,false
19,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,34,Scoring Engine -> Output- Asset Scores,Valid,false
20,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,35,Scoring Engine -> Output- Asset Scores,Valid,false
21,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,36,Scoring Engine -> Output- Asset Scores,Valid,false
22,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,37,Scoring Engine -> Output- Asset Scores,Valid,false
23,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,38,Scoring Engine -> Output- Asset Scores,Valid,false
24,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,39,Scoring Engine -> Output- Asset Scores,Valid,false
53,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,40,Scoring Engine -> Output- Asset Scores,Valid,false
54,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,41,Scoring Engine -> Output- Asset Scores,Valid,false
67,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,42,Scoring Engine -> Output- Asset Scores,Valid,false
68,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,43,Scoring Engine -> Output- Asset Scores,Valid,false
70,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,44,Scoring Engine -> Output- Asset Scores,Valid,false
71,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,45,Scoring Engine -> Output- Asset Scores,Valid,false
72,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,46,Scoring Engine -> Output- Asset Scores,Valid,false
77,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,47,Scoring Engine -> Output- Asset Scores,Valid,false
84,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,48,Scoring Engine -> Output- Asset Scores,Valid,false
85,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,49,Scoring Engine -> Output- Asset Scores,Valid,false
90,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,50,Scoring Engine -> Output- Asset Scores,Valid,false
91,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,51,Scoring Engine -> Output- Asset Scores,Valid,false
92,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,52,Scoring Engine -> Output- Asset Scores,Valid,false
93,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,53,Scoring Engine -> Output- Asset Scores,Valid,false
94,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,54,Scoring Engine -> Output- Asset Scores,Valid,false
95,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,55,Scoring Engine -> Output- Asset Scores,Valid,false
96,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,56,Scoring Engine -> Output- Asset Scores,Valid,false
97,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,57,Scoring Engine -> Output- Asset Scores,Valid,false
98,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,58,Scoring Engine -> Output- Asset Scores,Valid,false
99,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,59,Scoring Engine -> Output- Asset Scores,Valid,false
100,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,60,Scoring Engine -> Output- Asset Scores,Valid,false
101,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,61,Scoring Engine -> Output- Asset Scores,Valid,false
102,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,62,Scoring Engine -> Output- Asset Scores,Valid,false
103,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,63,Scoring Engine -> Output- Asset Scores,Valid,false
104,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,64,Scoring Engine -> Output- Asset Scores,Valid,false
105,LAS04,Las Vegas-North,,,,,,,,,,,,,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Asset Scores,65,Scoring Engine -> Output- Asset Scores,Valid,false
