SiteNo,OverallRiskScore,NumberItemsAtThreshold,GeneratorScore,UPSScore,UtilityScore,CoolingScore,FireProtectionScore,OtherScore,SourceWorkbook,SourceSheet,SourceRowNumber,CalculationLayer,ValidationStatus
DAL01,3.2918260422393448,9,5.5555555555555554,4.9416342412451355,4.8413749414261193,1.9273127753303965,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,15,Transpose Actual Adj -> Output- Site Risk Scores,Valid
ABE01,2.7960253283848062,9,3.0617931436258927,2.3079766893294797,3.6337209302325584,0.86613987490129218,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,16,Transpose Actual Adj -> Output- Site Risk Scores,Valid
SLC10,2.4111184518805651,6,3.354206238251654,3.8285728763382481,1.5484151266751287,1.239706881193148,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,17,Transpose Actual Adj -> Output- Site Risk Scores,Valid
NAS01,2.3347899465217754,7,4.5361534382117554,1.7824502133590006,4.0697674418604652,2.1070625974630071,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,18,Transpose Actual Adj -> Output- Site Risk Scores,Valid
JAX02,2.296221754642759,8,1.5972222222222221,1.9455252918287937,3.6337209302325584,2.6651982378854626,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,19,Transpose Actual Adj -> Output- Site Risk Scores,Valid
CLT01,2.2810395551018696,4,5.3550354661007704,2.5795061194201221,2.1250602195755968,1.2692675014543842,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,20,Transpose Actual Adj -> Output- Site Risk Scores,Valid
NAS02,2.1917871810832299,8,1.432335479472082,1.9455252918287937,2.0348837209302326,3.0573175800376746,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,21,Transpose Actual Adj -> Output- Site Risk Scores,Valid
ATL02,2.1568763821641461,7,2.6383207309918486,1.8706695867759324,0.99637338733960434,2.4016998917236703,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,22,Transpose Actual Adj -> Output- Site Risk Scores,Valid
RAL03,2.1326237246814945,5,3.3215538430734401,2.7410596131246456,3.4254611504020982,0.19558518941653452,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,23,Transpose Actual Adj -> Output- Site Risk Scores,Valid
LAS05,2.1195962933782124,6,3.1283423188843278,0,6.25,1.7128815607261667,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,24,Transpose Actual Adj -> Output- Site Risk Scores,Valid
SLC07,2.0521684342579332,5,2.7344839863128612,1.8854252800636508,4.7414655716989182,1.8821133578321561,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,25,Transpose Actual Adj -> Output- Site Risk Scores,Valid
DAL02,2.0377824535724085,5,5.5555555555555554,1.9455252918287937,4.0697674418604652,0.88105726872246704,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,26,Transpose Actual Adj -> Output- Site Risk Scores,Valid
LAS03,2.0131595944423184,7,2.1571975674733395,1.9455252918287937,6.2247086897050536,1.7037272554203065,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,27,Transpose Actual Adj -> Output- Site Risk Scores,Valid
RAL02,2.0201358856907352,5,3.3329076978662,1.7952359231960289,3.4196804018427969,0.18904628604303617,,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Output- Site Risk Scores,28,Transpose Actual Adj -> Output- Site Risk Scores,Valid
