SiteNo,SPOFQuestionId,AnswerValue,OriginalMarker,DetailedComments,SourceWorkbook,SourceSheet,SourceRowNumber,SourceColumnStart,SourceColumnEnd,ValidationStatus
ABE01,1.02,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,7,10,Valid
ATL01,1.02,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,11,14,Valid
ATL02,1.02,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,15,18,Valid
ATL03,1.02,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,19,22,Valid
ATL04,1.02,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,23,26,Valid
ATL05,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,27,30,Valid
CIN01,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,31,34,Valid
CIN02,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,35,38,Valid
CLT01,1.02,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,39,42,Valid
CLT02,1.02,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,43,46,Valid
CLT03,1.02,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,47,50,Valid
CLT04,1.02,No,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,51,54,Valid
CLT05,1.02,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,55,58,Valid
DAL01,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,59,62,Valid
DAL02,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,63,66,Valid
DAL03,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,67,70,Valid
DAL04,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,71,74,Valid
DAL05,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,75,78,Valid
DEN02,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,79,82,Valid
DEN03,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,83,86,Valid
DEN05.01,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,87,90,Valid
DEN05.02,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,91,94,Valid
DEN11,1.02,Yes,x,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,95,98,Valid
DFW01,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,99,102,Valid
FLL01,1.02,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,103,106,Valid
FLL02,1.02,No,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,107,110,Valid
JAX01,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,111,114,Valid
JAX02,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,115,118,Valid
LAS03,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,119,122,Valid
LAS04,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,123,126,Valid
LAS05,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,127,130,Valid
LOU02,1.02,Yes,X,,Flex Asset EOL and Site Risk Evaluation Tool Ver 3.0 3.6.25.xlsx,Entry- Site SPOF Data,30,131,134,Valid
